Date,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
197306,   -0.46,   -0.13,   -2.44,   -3.08,   -4.06,   -0.46,   -0.46,   -0.51,    0.29,   -1.27,   -4.22,   -1.20,   -5.88,   -3.60,   -4.51
197307,    1.43,    4.79,   10.26,   13.81,   17.92,    0.24,    2.18,    4.01,    6.14,    9.67,   10.82,   13.30,   14.57,   16.15,   20.09
197308,   -3.40,   -2.96,   -2.01,   -2.74,   -5.24,   -3.44,   -3.37,   -3.47,   -2.07,   -1.02,   -3.28,   -1.90,   -3.90,   -3.71,   -6.80
197309,    3.01,    5.42,    8.91,    8.50,   11.68,    5.59,    0.30,    4.56,    6.56,    8.82,    9.00,    7.89,    9.37,   12.57,   10.76
197310,   -0.44,    1.95,   -1.80,   -1.97,   -3.51,   -1.42,    1.09,    0.56,    3.30,   -0.36,   -3.74,   -1.14,   -3.13,   -2.77,   -4.26
197311,   -8.91,  -12.97,  -11.94,  -18.67,  -22.59,   -9.42,   -8.10,  -11.91,  -14.48,  -11.02,  -14.16,  -19.43,  -17.83,  -23.04,  -22.16
197312,    1.59,    1.79,    0.69,    0.12,   -1.69,    1.17,    2.06,    0.95,    2.41,   -0.46,    2.39,   -0.19,    0.60,   -2.01,   -1.38
197401,   -0.62,   -0.31,    0.14,    4.28,    9.90,    0.76,   -1.98,    1.22,   -2.11,   -0.08,    0.57,    5.00,    3.41,    8.47,   11.50
197402,    0.25,   -0.13,    0.13,    0.23,   -0.36,    0.79,   -0.31,   -0.72,    1.01,   -0.07,    0.50,   -0.49,    1.51,    0.65,   -1.53
197403,   -2.58,   -1.31,   -2.56,   -2.27,   -3.28,   -2.80,   -2.43,   -0.84,   -2.23,   -3.67,   -0.99,   -1.76,   -2.94,   -4.07,   -1.95
197404,   -4.55,   -3.97,   -3.64,   -6.11,   -7.21,   -6.71,   -2.96,   -4.88,   -2.97,   -3.14,   -4.31,   -5.26,   -7.12,   -6.40,   -8.49
197405,   -3.33,   -2.96,   -4.73,   -5.15,  -10.14,   -3.25,   -3.49,   -3.50,   -2.34,   -5.52,   -3.74,   -4.71,   -5.69,  -10.21,  -10.06
197406,   -1.74,   -1.25,   -3.02,   -3.56,   -6.64,   -0.73,   -4.14,   -0.62,   -2.52,   -3.86,   -1.89,   -2.64,   -5.17,   -5.54,   -7.85
197407,   -7.79,   -7.71,   -5.89,   -5.82,   -7.19,   -8.96,   -6.24,   -6.55,   -9.13,   -5.32,   -6.82,   -6.81,   -4.40,   -6.72,   -7.90
197408,   -8.29,   -8.45,   -9.78,   -9.68,   -9.92,   -6.62,  -10.26,   -8.37,   -8.63,   -9.85,   -9.67,  -10.23,   -8.86,   -8.96,  -11.15
197409,   -7.86,  -12.68,  -11.79,  -11.83,  -13.39,   -6.67,   -9.55,  -12.42,  -13.15,  -12.82,  -10.03,  -11.34,  -12.39,  -12.48,  -14.47
197410,   13.09,   15.36,   19.86,   22.15,   20.29,   12.47,   14.07,   15.05,   15.71,   18.28,   22.01,   21.76,   22.62,   20.82,   19.52
197411,   -3.32,   -4.84,   -3.81,   -3.31,   -5.13,   -2.90,   -3.76,   -5.09,   -4.48,   -3.67,   -3.96,   -2.70,   -4.62,   -4.25,   -7.03
197412,    0.11,   -2.95,   -3.58,   -5.67,   -7.45,    0.39,   -0.16,   -3.76,   -1.53,   -2.14,   -4.83,   -5.94,   -5.39,   -4.85,  -12.35
197501,   12.86,   12.64,   13.83,   18.38,   25.17,   10.78,   15.18,   13.29,   11.77,   12.21,   15.37,   16.67,   20.97,   23.00,   30.03
197502,    3.51,    7.93,    7.17,    6.40,    6.23,    3.47,    3.57,    8.68,    6.50,    7.40,    6.93,    4.49,    9.02,    8.17,    3.15
197503,    1.20,    2.73,    4.82,    6.69,   12.00,    0.93,    1.57,    2.26,    3.63,    3.07,    7.21,    5.33,    8.32,   11.91,   12.16
197504,    4.18,    4.47,    6.59,    5.48,    5.09,    1.76,    6.76,    5.16,    3.93,    6.20,    7.18,    5.10,    6.06,    7.55,    1.37
197505,    5.72,    4.47,    6.04,    8.18,    8.33,    5.83,    5.63,    3.78,    5.52,    5.84,    6.25,    7.68,    8.90,    8.58,    7.90
